customer_id,customer_name,email,phone,city,state,signup_date
1,Sarah Gonzalez,collinsmichael@example.org,7288463002,Bangalore,India,2023-08-13
2,Stephanie Murphy,upruitt@example.org,8473466992,Pune,India,2023-11-30
3,Mark Robinson,heather32@example.com,9869009723,Mumbai,India,2025-05-01
4,James Johnson,kimberlyhubbard@example.net,0182727925,Ahmedabad,India,2023-11-16
5,Samantha Leonard,samantha84@example.com,2652855291,Mumbai,India,2025-02-13
6,Christopher Barnett,louiswilliams@example.org,1106868583,Ahmedabad,India,2025-04-07
7,Robert Clark,sandovaldamon@example.org,7055914523,Bangalore,India,2025-10-13
8,Karen Mathews,brentscott@example.com,7234243518,Chennai,India,2024-02-12
9,Keith Willis,olsonjessica@example.com,5524109251,Ahmedabad,India,2025-09-23
10,Mark Nguyen,adam25@example.org,5714470954,Delhi,India,2025-04-28
11,Kenneth Davis,ronaldgriffith@example.net,5005176510,Delhi,India,2025-06-30
12,Shawn Perez,lawrenceryan@example.com,3988495731,Mumbai,India,2024-12-11
13,Mr. Jonathan Petersen,yshaffer@example.net,8840310001,Delhi,India,2024-07-10
14,Christopher Payne,raymondgarcia@example.net,6811882338,Pune,India,2024-06-13
15,Zoe Guzman,ianharris@example.com,0463451721,Hyderabad,India,2024-04-28
16,Melvin Edwards,wmartinez@example.org,2988804958,Mumbai,India,2024-10-04
17,Kristin Carter,snelson@example.org,9647257499,Chennai,India,2025-05-23
18,Robert Kelly,sromero@example.org,2871336108,Bangalore,India,2025-05-16
19,Nicholas Burke,christina17@example.org,6513668645,Hyderabad,India,2024-09-15
20,Danielle Scott,caleb79@example.org,5168912268,Mumbai,India,2025-01-20
21,Michelle Brown,bobbyparks@example.com,6934100607,Pune,India,2023-11-07
22,Joshua Webster,robertevans@example.net,9492484405,Hyderabad,India,2024-01-27
23,Benjamin Mason,jesus64@example.net,0587235827,Hyderabad,India,2024-07-31
24,Tracy Mcdonald,fosterbarbara@example.org,8273000413,Hyderabad,India,2023-08-15
25,Mark Mccarty,debbiewalker@example.com,9024901816,Pune,India,2024-09-19
26,Amanda Mccann,tlozano@example.org,0037515833,Ahmedabad,India,2024-06-17
27,Michael Smith,jimenezroger@example.net,8552192539,Pune,India,2023-06-12
28,Matthew Davis DVM,donaldmccall@example.org,7015010193,Bangalore,India,2023-04-27
29,Jamie Fuller,cherylrogers@example.net,0542082585,Mumbai,India,2025-12-12
30,Carlos Wallace,johnsondestiny@example.org,3094665584,Mumbai,India,2026-01-22
31,Lisa Hamilton,pcruz@example.com,4826596840,Ahmedabad,India,2024-07-09
32,John Kim,alexandra24@example.org,4043772239,Ahmedabad,India,2024-07-12
33,Donald Ellis,davidsmith@example.net,8691481338,Mumbai,India,2024-02-07
34,Shirley Jones,anthony13@example.net,8736941650,Mumbai,India,2023-12-19
35,Wesley Smith,egutierrez@example.com,7822653238,Pune,India,2024-07-17
36,Troy Knox,danielwright@example.com,6072615443,Hyderabad,India,2024-10-06
37,Jean Simmons,hbrown@example.org,3540345669,Mumbai,India,2025-07-02
38,John Dawson,ashley57@example.org,5139985348,Pune,India,2024-05-27
39,Sharon Harris,kirbyjoan@example.net,1724595423,Delhi,India,2025-07-21
40,Nathan Anderson,davispatrick@example.com,0559796875,Pune,India,2023-06-25
41,Ian Brown,amandaperry@example.com,5563010331,Chennai,India,2025-04-29
42,Troy Gomez,christopherflores@example.com,9852088875,Mumbai,India,2025-11-09
43,Ryan Huffman,maria76@example.net,9908076006,Pune,India,2023-11-18
44,Heather Johnson,georgedavid@example.net,2427147145,Ahmedabad,India,2023-07-21
45,Joseph Collins,ageorge@example.org,7060190682,Ahmedabad,India,2024-07-29
46,Logan Wood,poolesusan@example.com,4462448374,Bangalore,India,2025-11-11
47,Victoria Garrett,cmathews@example.org,0125630011,Mumbai,India,2024-05-30
48,Megan Jones,lawrencenicole@example.com,9484824574,Mumbai,India,2025-05-19
49,Kiara Farley,jonestaylor@example.org,7928745111,Pune,India,2026-02-25
50,Andrew Wilson,kristincox@example.com,0477586234,Pune,India,2025-04-09
51,Renee Barrett,katelyncollins@example.org,2754237524,Bangalore,India,2023-05-13
52,Katherine Mills,barbara08@example.com,1802340435,Mumbai,India,2025-01-27
53,Oscar Young,justinmarshall@example.com,7025678648,Ahmedabad,India,2024-04-17
54,Cheyenne Kaufman,victoriawright@example.net,3482543948,Pune,India,2023-11-22
55,Christopher Castillo,pgarcia@example.org,3996648014,Delhi,India,2025-01-04
56,Courtney Smith,zpearson@example.net,1852707000,Bangalore,India,2024-12-06
57,Benjamin Cowan,williamfrye@example.net,2239440264,Mumbai,India,2024-03-15
58,Adam Steele,wgomez@example.com,1274792024,Hyderabad,India,2025-11-18
59,Courtney Fisher,wstanley@example.net,7670826357,Pune,India,2025-02-15
60,Randy Lopez,twhitaker@example.com,3673224765,Bangalore,India,2023-12-07
61,Tanya Hernandez,qwilkinson@example.org,6306611281,Ahmedabad,India,2026-01-03
62,Daniel Shepard,gmorris@example.net,5276205449,Delhi,India,2025-02-24
63,Robin Bartlett,claudiamartinez@example.net,0073694806,Mumbai,India,2025-10-01
64,Jane Fritz,hkrause@example.org,0565965312,Delhi,India,2026-03-08
65,Robert Lindsey,michaelshaffer@example.org,0693259658,Delhi,India,2023-05-24
66,James Elliott,omorgan@example.com,9119083424,Ahmedabad,India,2023-03-18
67,Devin Jones,walltheresa@example.net,7851262333,Pune,India,2025-07-23
68,Keith Brewer,jesus11@example.com,4617657486,Mumbai,India,2025-06-29
69,Jordan Pope,gjones@example.net,6382306444,Bangalore,India,2023-07-29
70,Sydney Payne,lisa37@example.net,5807211416,Pune,India,2023-04-20
71,Christopher Huynh,james50@example.org,5972682704,Mumbai,India,2025-03-14
72,Harold Smith,nicholejackson@example.net,3318466232,Mumbai,India,2024-10-24
73,Michelle Jones,eschmidt@example.com,5027718167,Pune,India,2025-02-21
74,Marcus Diaz,gmartin@example.org,0480337848,Pune,India,2025-04-15
75,Bryan Bell,amypeters@example.com,0519267048,Mumbai,India,2025-11-23
76,Jonathan Valentine,wayne99@example.org,1638267211,Pune,India,2025-12-18
77,Elizabeth Ramirez,jhickman@example.net,6816668128,Ahmedabad,India,2025-06-13
78,Charles Hanna,michellewoods@example.net,4420602652,Delhi,India,2023-11-16
79,Keith Davis,dschwartz@example.com,4334974274,Chennai,India,2024-05-08
80,Chris Morgan,christyclark@example.net,7454080864,Mumbai,India,2025-03-16
81,Daniel Barrett,awilliams@example.org,2130654367,Bangalore,India,2023-03-29
82,Thomas Washington,laura10@example.org,8159030621,Ahmedabad,India,2025-10-15
83,Robert Molina,johnsonerica@example.com,9132901171,Chennai,India,2025-08-11
84,Jeffery Carey,moransteven@example.net,4232309781,Bangalore,India,2023-06-06
85,Brandy Lee,steven71@example.com,5162045779,Bangalore,India,2023-10-03
86,Jennifer Jackson,legregory@example.com,3024743297,Chennai,India,2025-08-11
87,Katie Thomas,mdeleon@example.net,8888019608,Mumbai,India,2025-03-28
88,Kelly Clements,debrakramer@example.net,2710563517,Chennai,India,2024-10-09
89,Adrian Malone,matthewjones@example.org,8303121873,Chennai,India,2025-07-30
90,Nancy Scott,michelemiller@example.net,1453806364,Hyderabad,India,2024-12-13
91,Denise Campbell,patricia70@example.org,7944593724,Hyderabad,India,2026-01-01
92,Ronald Burton,dharper@example.com,0727475402,Chennai,India,2025-03-25
93,Seth Logan,jonesscott@example.net,9438631524,Mumbai,India,2023-08-15
